Name;Memory;Init;Cold;Billed
hello-node;1024;175.88;2.85;3
hello-node;1024;168.66;2.71;3
hello-node;1024;168.13;2.93;3
hello-node;1024;170.97;2.62;3
hello-node;1024;169.44;3.03;4
hello-node;1024;175.21;3.38;4
hello-node;1024;171.68;3.15;4
hello-node;1024;172.15;2.87;3
hello-node;1024;169.16;2.92;3
hello-node;1024;172.64;2.88;3
hello-node;1024;175.88;2.85;3
hello-node;1024;168.66;2.71;3
hello-node;1024;168.13;2.93;3
hello-node;1024;170.97;2.62;3
hello-node;1024;169.44;3.03;4
hello-node;1024;175.21;3.38;4
hello-node;1024;171.68;3.15;4
hello-node;1024;172.15;2.87;3
hello-node;1024;169.16;2.92;3
hello-node;1024;172.64;2.88;3
hello-py311;1024;102.5;1.23;2
hello-py311;1024;104.44;1.39;2
hello-py311;1024;104.68;1.4;2
hello-py311;1024;101.57;1.28;2
hello-py311;1024;103.8;1.42;2
hello-py311;1024;104.29;1.31;2
hello-py311;1024;104.93;1.53;2
hello-py311;1024;106.2;1.33;2
hello-py311;1024;105.6;1.31;2
hello-py311;1024;105.51;1.48;2
hello-runtime-al2;1024;42.71;1.37;45
hello-runtime-al2;1024;42.2;1.4;44
hello-runtime-al2;1024;41.61;1.09;43
hello-runtime-al2;1024;41.62;1.44;44
hello-runtime-al2;1024;41.92;1.31;44
hello-runtime-al2;1024;42.05;1.31;44
hello-runtime-al2;1024;42.48;1.4;44
hello-runtime-al2;1024;41.58;1.47;44
hello-runtime-al2;1024;42.74;1.48;45
hello-runtime-al2;1024;42.45;1.34;44
hello-runtime-al2;1024;42.71;1.37;45
hello-runtime-al2;1024;42.2;1.4;44
hello-runtime-al2;1024;41.61;1.09;43
hello-runtime-al2;1024;41.62;1.44;44
hello-runtime-al2;1024;41.92;1.31;44
hello-runtime-al2;1024;42.05;1.31;44
hello-runtime-al2;1024;42.48;1.4;44
hello-runtime-al2;1024;41.58;1.47;44
hello-runtime-al2;1024;42.74;1.48;45
hello-runtime-al2;1024;42.45;1.34;44
hello-runtime-go;1024;76.48;1.98;2
hello-runtime-go;1024;86.21;2.1;3
hello-runtime-go;1024;83.35;1.82;2
hello-runtime-go;1024;90.57;1.86;2
hello-runtime-go;1024;83.51;1.75;2
hello-runtime-go;1024;84.91;1.9;2
hello-runtime-go;1024;67.77;1.55;2
hello-runtime-go;1024;87.25;12.18;13
hello-runtime-go;1024;82.51;1.63;2
hello-runtime-go;1024;81.08;1.78;2
