Name;Memory;Init;Cold;Billed
hello-node;1024;164.71;2.28;3
hello-node;1024;165.34;2.54;3
hello-node;1024;169.19;2.34;3
hello-node;1024;169.9;2.5;3
hello-node;1024;171.46;2.53;3
hello-node;1024;172.76;2.81;3
hello-node;1024;173.12;2.4;3
hello-node;1024;173.3;2.39;3
hello-node;1024;173.59;2.32;3
hello-node;1024;185.15;3.06;4
hello-py311;1024;107.18;1.35;2
hello-py311;1024;113.59;1.31;2
hello-py311;1024;115.22;1.15;2
hello-py311;1024;120.41;1.23;2
hello-py311;1024;164.76;1.17;2
hello-py311;1024;165.13;1.31;2
hello-py311;1024;179.85;1.43;2
hello-py311;1024;85.44;0.94;1
hello-runtime-al2;1024;43.3;0.96;45
hello-runtime-al2;1024;48.61;1.13;50
hello-runtime-al2;1024;50.11;1.37;52
hello-runtime-al2;1024;50.32;1.36;52
hello-runtime-al2;1024;50.61;1.31;52
hello-runtime-al2;1024;50.68;1.54;53
hello-runtime-al2;1024;51;1.25;53
hello-runtime-al2;1024;53.02;1.37;55
hello-runtime-al2;1024;58.19;1.89;61
hello-runtime-al2;1024;60.71;1.17;62
hello-runtime-go;1024;101.46;1.98;2
hello-runtime-go;1024;78.7;1.83;2
hello-runtime-go;1024;81.8;1.85;2
hello-runtime-go;1024;83.26;1.64;2
hello-runtime-go;1024;83.99;2.12;3
hello-runtime-go;1024;84.33;2.06;3
hello-runtime-go;1024;84.78;1.83;2
hello-runtime-go;1024;84.88;1.74;2
hello-runtime-go;1024;87.5;5.41;6
hello-runtime-go;1024;91.67;2.76;3
